Strassenklasse,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
Bundesstrasse,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1330,LKW ab 7.5t,Gut
Autobahn,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,weiblich,1724,Auto,Gut
nicht klassifiziert,56,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1345,Mottorrad (500cc),Gut
Bundesstrasse,66,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1830,Auto,Regen
Bundesstrasse,33,Fahrer,2,Dunkelheit: keine Strassenbeleuchtung,1,1,nass / feucht,männlich,15,Auto,Gut
nicht klassifiziert,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1457,Auto,Gut
Bundesstrasse,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1130,Fahrrad,Gut
nicht klassifiziert,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1520,Transporter,Gut
Bundesstrasse,66,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Schnee,weiblich,1057,Auto,Schnee
Bundesstrasse,67,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1300,Auto,Gut
Landesstrasse,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,835,Auto,Gut
nicht klassifiziert,60,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1205,Bus,Gut
nicht klassifiziert,16,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1215,Auto,Gut
Landesstrasse,64,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1120,Bus,Regen (starker Wind)
Landesstrasse,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1908,Auto,Gut
Autobahn,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,1,trocken,männlich,1607,Auto,Gut
Bundesstrasse,27,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,weiblich,1820,Auto,Regen
nicht klassifiziert,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2200,Auto,Gut
nicht klassifiziert,26,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,422,Auto,Gut
